"","Year","Month","Total_Monthly_transactions","Monthly_adjusted"
"1",2014,3,0,0
"2",2014,10,0,0
"3",2015,1,0,0
"4",2015,2,520,18.5714285714286
"5",2015,3,1513,48.8064516129032
"6",2015,4,0,0
"7",2015,5,0,0
"8",2015,6,653,21.7666666666667
"9",2015,7,281,9.06451612903226
"10",2015,8,0,0
"11",2015,9,0,0
"12",2015,10,1105,35.6451612903226
"13",2015,11,800,26.6666666666667
"14",2015,12,495,15.9677419354839
"15",2016,1,1137,36.6774193548387
"16",2016,2,1322,45.5862068965517
"17",2016,3,3531,113.903225806452
"18",2016,4,1133,37.7666666666667
"19",2016,5,996,32.1290322580645
"20",2016,6,317,10.5666666666667
"21",2016,7,1194,38.5161290322581
"22",2016,8,1220,39.3548387096774
"23",2016,9,1305,43.5
"24",2016,10,3408,109.935483870968
"25",2016,11,1376,45.8666666666667
"26",2016,12,938,30.258064516129
"27",2017,1,2020,65.1612903225806
"28",2017,2,2354,84.0714285714286
"29",2017,3,2504,80.7741935483871
"30",2017,4,1967,65.5666666666667
"31",2017,5,2744,88.5161290322581
"32",2017,6,2320,77.3333333333333
"33",2017,7,2295,74.0322580645161
"34",2017,8,2658,85.741935483871
"35",2017,9,2484,82.8
"36",2017,10,2291,73.9032258064516
"37",2017,11,2485,82.8333333333333
"38",2017,12,2288,73.8064516129032
"39",2018,1,2197,70.8709677419355
"40",2018,2,980,35
"41",2018,3,150,4.83870967741935
"42",2018,4,1683,56.1
"43",2018,5,2098,67.6774193548387
"44",2018,6,872,29.0666666666667
"45",2018,7,1977,63.7741935483871
"46",2018,8,2378,76.7096774193548
"47",2018,9,3161,105.366666666667
"48",2018,10,77,2.48387096774194
"49",2018,11,744,24.8
"50",2018,12,1047,33.7741935483871
"51",2019,1,120,3.87096774193548
"52",2019,2,127,4.53571428571429
"53",2019,3,261,8.41935483870968
"54",2019,4,52,1.73333333333333
"55",2019,5,92,2.96774193548387
"56",2019,6,142,4.73333333333333
"57",2019,7,119,3.83870967741935
"58",2019,8,116,3.74193548387097
"59",2019,9,106,3.53333333333333
"60",2019,10,106,3.41935483870968
"61",2019,11,137,4.56666666666667
"62",2019,12,122,3.93548387096774
"63",2020,1,93,3
"64",2020,2,175,6.03448275862069
"65",2020,3,764,24.6451612903226
"66",2020,4,85,2.83333333333333
"67",2020,5,88,2.83870967741935
"68",2020,6,142,4.73333333333333
"69",2020,7,145,4.67741935483871
"70",2020,8,66,2.12903225806452
"71",2020,9,134,4.46666666666667
"72",2020,10,163,5.25806451612903
"73",2020,11,116,3.86666666666667
"74",2020,12,67,2.16129032258065
"75",2021,1,1513,48.8064516129032
"76",2021,4,113,4.03571428571429
"77",2021,5,905,29.1935483870968
"78",2021,6,453,15.1
"79",2021,7,1765,56.9354838709677
"80",2021,8,835,27.8333333333333
"81",2021,9,1505,48.5483870967742
